i, megaflow_entries
1, 2
2, 2
3, 2
4, 2
5, 1
6, 2
7, 1
8, 2
9, 2
10, 2
11, 1
12, 1
13, 1
14, 2
15, 2
16, 2
17, 2
18, 1
19, 1
20, 2
21, 2
22, 2
23, 1
24, 2
25, 1
26, 1
27, 2
28, 1
29, 1
30, 2
31, 1
32, 1
33, 2
34, 2
35, 1
36, 1
37, 2
38, 1
39, 1
40, 2
41, 2
42, 2
43, 2
44, 2
45, 1
46, 2
47, 1
48, 2
49, 2
50, 1
51, 2
52, 2
53, 2
54, 1
55, 2
56, 1
57, 1
58, 2
59, 1
60, 1
61, 1
62, 2
63, 2
64, 1
65, 2
66, 2
67, 1
68, 2
69, 2
70, 2
71, 2
72, 2
73, 2
74, 1
75, 2
76, 1
77, 2
78, 2
79, 2
80, 1
81, 2
82, 2
83, 2
84, 2
85, 1
86, 2
87, 1
88, 2
89, 1
90, 2
91, 2
92, 1
93, 1
94, 1
95, 2
96, 2
97, 2
98, 2
99, 1
100, 2
